project_type,num
defi,4117
infra,3329
gaming,1695
ai,1320
nft,1201
tools,1189
cefi,1130
dex,1060
layer1,697
social,650
lending,580
derivatives,568
cex,517
meme,489
launchpad,457
wallet,446
"data & analysis",441
"creator economy",416
"ai agent",412
payment,372
"dev platform",370
rwa,353
"nft marketplace",327
depin,304
layer2,301
"gaming platform",243
lsd,233
metaverse,223
"security solutions",222
perp,213
dao,209
"yield aggregator",206
"marketing solutions",203
privacy,193
"stablecoin protocol",189
did,164
"cloud computing",163
"mining industry",161
"nft solutions",160
"gaming solutions",156
bridge,155
zk,154
"crypto media",153
"publicly listed company",151
socialfi,139
"prediction market",132
"crypto stocks",131
"asset management",130
nftfi,130
"dao solutions",125
ordinals,122
"trading robot",120
"technology solutions",114
music,107
"bitcoin ecosystem",106
"gambling games",106
"nft collections",102
"asset management（cefi）",100
entertainment,97
"crypto education",96
"software development",90
"crypto consulting",84
studio,84
modular,83
"security audit",83
"blockchain api",76
iot,76
options,76
"dex aggregator",75
incubator,75
"name service",75
"social communication",75
restaking,73
"crypto marketing",71
"investment dao",69
"reputation system",67
custody,65
"data market",64
"market makers",64
oracle,64
"quantitative trading",64
"socia trading",64
"staking service",64
"enterprise blockchain",63
desci,62
e-commerce,62
"yield optimizer",62
"digital securities",61
insurance,61
"real estate",61
"digital art",59
intent,57
"on-chain data",57
layer3,54
brc-20,53
"card games",52
"synthetic assets",52
"tax & accounting",51
"nft lending",50
"shooting games",50
"storage network",50
"cefi solutions",49
"medical health",49
"on/off ramp gateway",49
community,48
"cross-chain communication",47
"games guild",46
"lightning network ecosystem",46
"stablecoin issuer",46
"on-chain financing solutions",45
"cross-chain aggregation dex",44
"node validators ",44
pow,44
"crypto card",43
"task platform",43
mev,42
"ball games",41
"digital fashion",41
"lifestyle app",41
"compliance solutions",40
"nft tools",40
"tg bot",40
"on-chain gaming",39
"recruitment solutions",39
"social media",39
"blockchain explorer",38
brokers,38
"digital currency",38
refi,38
lending(cefi),37
miner,37
"polkadot parachain",36
" onchain fund",35
"account abstraction",35
aigc,35
"research organization",35
stableswap,35
"streaming media",35
"game development",34
otc,33
"sports fitness",33
"hardware wallet",32
interoperability,32
"lens ecosystem",32
"market data",32
runes,32
"decentralized wireless",31
etf,31
"orderbook dex",31
"savings & investment",31
"tap to earn",31
"asset dashboards",30
"cloud computing power",30
"loyalty platform",30
mpc,30
"fixed interest rate lending",29
"credit lending",28
"mining pool",28
"tokenization of carbon credits",28
"community platform",27
dov,27
"institutional defi",27
"leveraged yield farming",27
"storage application",27
ar,26
"socia token",26
"environmental solutions",25
"node service",25
"racing games",25
ticketing,25
"uniswap v3 ecosystem",25
"task automation",24
vpn,24
"fundraising platform",23
infofi,23
"crypto mixers",22
appchain,21
cedefi,21
"digital asset treasury",21
"nft derivatives",21
"travel applications",21
"algorithmic stablecoin",20
"mcp ",20
"metaverse solutions",20
"aaa games",19
dag,19
"on-chain compliance solutions",19
sidechain,19
"crypto recruitment",18
"digital country/city",18
"freelancer market",18
"multisig solution",18
"nft amm",18
"on-chain notification",18
"social graph",18
"ens ecosystem",17
fhe,17
"hedge funds",17
"publishing platform",17
"arweave ecosystem",16
"chain abstract",16
"parallel vm",16
"user security",16
charity,15
"layerzero ecosystem",15
"move to earn",15
"nft aggregator",15
post-quantum,14
profiles,14
"service dao",14
"digital authenticity ",13
"digital credentials",13
e-mail,13
"on-chain investigation",13
"points market",13
rgb,13
"education solution",12
"grants platform",12
"app store",11
atm,11
"crowdfunding dao",11
"filecoin ecosystem",11
"horse racing games",11
"nft fragmentation",11
"nft leasing",11
"streaming payment",11
crm,10
"incubation dao",10
sbt,10
"badge system",9
da,9
"debt marketplace",9
"franchise ips",9
inscriptions,9
"mobile mining",9
liquidity-as-a-service,8
"avalanche subnet",7
"collector dao",7
"nft display",7
"search engine",7
"knowledge graph",6
"bug bounty",5
"nft oracle",5
"virtual avatar",5
"yield tokenization",5
"access controls",4
arc20,4
"sharing economy",4
"time market",4
"media dao",3
